,Unnamed: 0,Company,CPU Detail,CPU Manufacturer,CPU Generation,CPU Arc,Core,Cache,RAM,HDD,SSD,Graphic-creator,Graphic RAM,Blore screen,Keyboard light,Battery houre,Battery Cells,Battery Capacity,Size per Inch/,Touch screen,amount
747,795,,Core i5-Alder Lake,Intel,12.0,x86,12.0,18.0,8.0,,512.0,NVIDIA,4.0,,1.0,,4.0,90.0,,,39.899
748,796,,Core i7-Alder Lake-P,Intel,12.0,x86,14.0,24.0,16.0,,2000.0,NVIDIA,4.0,,1.0,,4.0,56.0,,,54.2
749,797,OMEN,,Intel,,,7.0,,16.0,512.0,,NVIDIA,8.0,,,6.26,,,15.6,,45.8
750,798,,Core i7,Intel,10.0,x86,4.0,12.0,16.0,,512.0,NVIDIA,2.0,1.0,,3.0,2.0,37.0,15.6,,30.69
751,799,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,8.0,1000.0,128.0,NVIDIA,2.0,,,,2.0,38.0,,,24.07
752,800,,Core i7,,6.0,x86,,4.0,32.0,,480.0,Intel,,,1.0,,9.0,97.0,14.0,,139.0
753,801,,Core i5,Intel,11.0,x86,6.0,12.0,16.0,,,NVIDIA,4.0,1.0,1.0,,,,15.6,,44.9
754,802,,Core i5,Intel,11.0,x86,,12.0,16.0,,512.0,Nvidia,4.0,1.0,1.0,,,,16.1,,36.1
755,803,,Core i5,Intel,8.0,x86,,,8.0,,256.0,,0.0,,,,,,,,14.0
756,805,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,12.0,,512.0,NVIDIA,2.0,,,,2.0,37.0,,,25.979
757,806,,Core i7,Intel,12.0,x86,14.0,24.0,16.0,,512.0,NVIDIA,4.0,1.0,1.0,,,,15.6,,53.5
758,807,,Core i7,,10.0,x86,6.0,12.0,16.0,256.0,,,,,,,,,,,54.989
759,808,Apple,M2,Apple,,M2,12.0,,32.0,,1000.0,,,,,17.0,,70.0,,,159.0
