,نوع و مدل لپ تاپ new,سری AMD new,جزئیات CPU new,مشخصات cpu ( پردازنده ) new,CPU Manufacturer new,نسل پردازنده مرکزی new,هسته پردازشی new,هسته واقعی new,میزان حافظه کش L2 new,ظرفیت داخلی new,امکان ارتقاء هارد دیسک تا new,نوع حافظه داخلي new,ظرفیت حافظه دوم new,سازنده پردازنده گرافیک new,مدل پردازنده گرافیک new,مشخصات گرافیک new,صفحه نمایش مات یا شیشه‌ای new,نور پس زمینه کیبورد new,شارژدهي باتري new,ویژگی های باتری و شارژر new,شارژر / باتری new,ابعاد صفحه نمایش new,تعدادفن new,صحفه نمایش مات new,صفحه تاچ new,نور صفحع کلید new,حسگر اثر انگشت Touch ID new,amount new
476,  ,          ,       ,     ,             , , i9-13900H    ,                     ,  24 MB Intel® Smart Cache                       ,   16GB DDR5                                     ,              ,1tb حافظه از نوع SSD NVMe                 ,                               ,                   ,  RTX4070 140W   , 8GB                                  , ,     ,         , , 90wh        240 وات سریع       , 16.1 اینچ 2.5k 3ms          ,  ,  ,   , RGB           ,   ,134.400.000
477,  ,HP          ,1235U Alder Lake      ,     ,             ,نسل 12 , Core i5    ,10 هسته حقیقی+ 12 هسته مجازی                     ,12 مگابایت                         ,    8GB   بدون حافظه‌ی گرافیکی مجزا                                 ,              ,                 ,     1TB                          ,                   ,  Intel Iris Graphics   ,                                   ,خیر ,Backlit ندارد    ,  1 الی 3 ساعت       , ,                , 14 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,43.799.000
478,  ,          ,  Core i7     ,     ,             , , 4800MQ    ,                     ,  6 مگابایت                       ,   8 گیگ                                     ,              ,256 گیگابایت SSD SATA ssd               ,                               , NVIDIA                  ,     , 2 گیگابایت                                  ,بله , دارد    ,  3 الی 5 ساعت       , ,  باتری لیتیوم یونی با ظرفیت 99 وات ساعت              , 15 اینچ          ,  ,  ,   ,            ,   ,11.600.000
479,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,17.900.000
480,  ,          ,Core i7       ,     ,             , , 1165G7    ,    4.0 2.0                ,  12 مگابایت                       ,   12 گیگابایت                                     ,              ,        1 ترابایت         ,       قابلیت اضافه به صورت دلخواه و سفارشی                        , Nvidia                  ,  GeForce MX450   , 2GB GDDR5                                  , , ندارد    ,         , , 38Whr               , 15.6 اینچ          ,  ,  ,   ,            ,   ,27.900.000
481,  ,          ,Core i7       ,     ,             , , 12700H    ,                     ,  24 مگابایت                       ,   16 گیگابایت                                     ,  ندارد            ,                 ,   1 ترابایت                            , NVIDIA                  ,  GEFORCE RTX 3050TI   , 4GB                                  , , دارد    ,  90 وات ساعت       , ,                , 15.6 اینچ          ,  ,  ,   ,            ,   ,58.800.000
482,  ,ام اس آی          ,1335U Raptor Lake      ,     ,             ,نسل 13 ,x86 Core i5    ,10 هسته حقیقی+ 12 هسته مجازی                     ,12 مگابایت                         ,    8GB   بدون حافظه‌ی گرافیکی مجزا                                 ,     ندارد         ,                 ,     512GB                          ,                   ,  Iris Xe   ,                                   , , دارد    ,  1 الی 3 ساعت       , ,                , 15.6 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,34.744.000
483,  ,          ,Core i7       ,     ,             ,نسل 12 اینتل , 1265U    ,   10 هسته                  ,     12 مگابایت                    ,   16 گیگابایت                                     ,              ,                 ,   512 گیگابایت                            ,    Intel               ,     ,                                   , ,     دارد,  تا 17 ساعت       , ,  با ظرفیت 48 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,            ,   ,91.980.000
484, 12650H ,          ,Core i7 Alder Lake      ,     , Intel            ,نسل 12 ,x86     ,10                     ,24MB                         , 32GB                                       ,              ,                 , 2TB                              ,NVIDIA                   ,GeForce RTX 3070    ,              8GB                     , ,White Backlit     ,         , ,4Cell 76WHr                ,           ,  ,  ,   ,            ,   ,77.864.000
485,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,10.600.000
486, 1115G4 ,          ,Core i3 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,2                     ,6MB                         , 12GB                                       ,              ,                 , 256GB                              ,NVIDIA                   ,GeForce MX350    ,              2GB                     , ,     ,         , ,2Cell 38WHrs                ,           ,  ,  ,   ,            ,   ,17.481.000
