,نوع و مدل لپ تاپ new,سری AMD new,جزئیات CPU new,مشخصات cpu ( پردازنده ) new,CPU Manufacturer new,نسل پردازنده مرکزی new,هسته پردازشی new,هسته واقعی new,میزان حافظه کش L2 new,ظرفیت داخلی new,امکان ارتقاء هارد دیسک تا new,نوع حافظه داخلي new,ظرفیت حافظه دوم new,سازنده پردازنده گرافیک new,مدل پردازنده گرافیک new,مشخصات گرافیک new,صفحه نمایش مات یا شیشه‌ای new,نور پس زمینه کیبورد new,شارژدهي باتري new,ویژگی های باتری و شارژر new,شارژر / باتری new,ابعاد صفحه نمایش new,تعدادفن new,صحفه نمایش مات new,صفحه تاچ new,نور صفحع کلید new,حسگر اثر انگشت Touch ID new,amount new
0, 600 ,          ,Celeron       ,     ,INTEL             , ,     ,2                     ,4MB                         ,4GB                                        , 1TB             ,                 ,ندارد                               ,                   ,UHD     ,              UP TO 2GB                     ,دارد ,     ,2 الی 4 ساعت         , ,2Cell 35WHr                ,           ,  ,  ,   ,            ,   ,8.999.000
1, 12650H ,          ,Core i7 Alder Lake      ,     , Intel            ,نسل 12 ,x86     ,10                     ,24MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3070    ,              8GB                     , ,White Backlit     ,         , ,4Cell 76WHr                ,           ,  ,  ,   ,            ,   ,59.500.000
2,  ,          ,12th Gen\Alder Lake       ,     ,  Intel           , , Core i5-12450H    8 هسته (4 هسته پُرمصرف + 4 هسته کم مصرف),                     , 12MB Smart Cache                        ,  16GB                                      ,❌              ,                 , 512GB ✔️                             ,                   , NVIDIA GeForce RTX 3050    ,4GB                                   , ,     ,         , , 45WHr               ,15.6 اینچ           ,  ,  ,   ,            ,   ,37.200.000
3,  ,          ,M1       ,     ,             , , Apple M1 chip    ,                     ,  12 مگابایت                       ,   8 گیگابایت                                     ,              ,256 گیگابایت SSD PCIe-based onboard               ,                               , Apple Apple                 ,  7core Apple-designed integrated GPU   , بدون حافظه‌ی گرافیکی مجزا                                  ,خیر , دارد    ,  حداکثر تا 15 ساعت برای وب گردی ساعت       , ,  باتری لیتیوم پلیمر با ظرفیت 49.9 وات ساعت              , 13.3 اینچ          ,  ,  ,   ,            ,   ,48.899.000
4, 10300H ,          ,Core i5 Comet Lake      ,     , Intel            ,نسل 10 ,x86     ,4                     ,8MB                         , 8GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce GTX 1650    ,              4GB                     , ,Backlit Chiclet Keyboard 1-Zone RGB     ,         , ,3Cell 48WHrs                ,           ,  ,  ,   ,            ,   ,36.700.000
5,Ideapad 3  ,          ,Core i3       ,     ,   Intel          ,11 ,  1115G4   ,2                     ,   6 مگابایت                      ,   12 گیگابایت                                     ,  1 ترابایت            ,1 ترابایت + 256 گیگابایت  PCIe NVMe HDD ،SSD              ,   256 گیگابایت                            , Intel                  ,  Intel UHD پردازنده گرافیکی یکپارچه  , Up to 2GB share 3.0                                  , ,  ندارد   ,  1 تا 2 ساعت       , , 35 وات ساعت               ,  15.6 اینچ         ,  ,  ,   ,            ,   ,18.470.000
6, Victus 15-FA0031DX-Z ,          ,Core i5       ,     ,Intel             , ,  12450H 64 بیتی  , 8 هسته حقیقی + 12 هسته مجازی                    ,    12 مگابایت                     ,                                        ,              ,512 گیگابایت SSD                ,                               ,                   ,     ,  4 گیگابایت       4 گیگابایت                          , ,   دارد (White Backlit)  ,         , , 52.5 وات ساعت               , 15.6 اینچ          ,NVIDIA GeForce GTX 1650  ,  ,   ,            ,   ,37.800.000
7, 600 ,          ,Celeron       ,     ,INTEL             , ,     ,2                     ,4MB                         ,4GB      UP TO 2GB                                  , 1TB             ,                 ,    128GB                           ,                   ,UHD     ,                                   ,دارد ,     ,2 الی 4 ساعت         , ,2Cell 35WHr                ,           ,  ,  ,   ,            ,   ,11.680.000
8,  ,ASUS          ,11400H       ,     ,             , ,x86 Core i5    ,6 هسته حقیقی + 12 هسته مجازی                     ,12 مگابایت                         ,    8GB   4GB                                 ,     ندارد         ,                 ,     512GB                          ,                   ,GeForce  Geforce RTX3050 4GB GDDR6   ,                                   ,بله ,Backlit Chiclet Keyboard Per-Key RGB دارد    ,  1 الی 3 ساعت       , ,                , 15.6 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,39.999.000
9,  ,          ,corei5       ,     ,             ,سری 10 , 1035G1    ,چهار هسته ای                     ,6 مگابایت                         ,8 گیگابایت                                        ,              ,                 ,   256 گیگابایت                            ,   Intel                ,    Intel UHD Graphics ,    Up to 2GB Share                               ,ندارد ,    دارد ,تا 13 ساعت         , , 39 وات               , 12.4 اینچ          ,  ,  ,   ,            ,   ,30.199.000
10, 12650H ,          ,Core i7 Alder Lake-P      ,     , Intel            ,نسل 12 ,x86     ,10                     ,24MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3050 Ti    ,              4GB                     , ,Backlit     ,         , ,3Cell 45WHr                ,           ,  ,  ,   ,            ,   ,44.100.000
11, 11800H ,          ,Core i7 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,8                     ,24MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3050    ,              4GB                     , ,White Backlit     ,         , ,4Cell 70WHr                ,           ,  ,  ,   ,            ,   ,47.850.000
12, 1135G7 ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,8MB                         , 8GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce MX330    ,              2GB                     , ,     ,         , ,2Cell 37WHrs                ,           ,  ,  ,   ,            ,   ,25.899.000
13,  ,          ,Apple M2       ,     ,             , , M2    ,   8 هسته                  ,     20 مگابایت                    ,   8 گیگابایت                                     ,              ,    ندارد             ,   256 گیگابایت                            ,    Apple               ,     ,                                   , ,     دارد,  تا 17 ساعت       , ,  با ظرفیت 58 وات ساعت              , 13.3 اینچ          ,  ,  ,   ,            ,   ,67.000.000
14, 1155G7 ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,8MB                         , 8GB                                       ,   1TB           ,                 ,                               ,NVIDIA                   ,GeForce MX350    ,              2GB                     , ,     ,         , ,2Cell 38WHrs                ,           ,  ,  ,   ,            ,   ,23.799.000
15,  ,          ,Core i7       ,     ,             , ,  Intel Core i7 12700H   ,14 هسته حقیقی                     ,   24 مگابایت                      ,   16 گیگابایت                                     ,  ندارد            ,1 ترابایت  دارای دو اسلات SSD NVMe PCIe (یکی استفاده شده) SSD              ,   1 ترابایت                            , NVIDIA                  ,  GEFORCE RTX3060 پردازنده گرافیکی مجزا  , 6 گیگابایت GDDR6                                  , ,  دارد   ,  4 تا 7 ساعت       , , 90 وات ساعت               ,  15.6 اینچ         ,  ,  ,   ,            ,   ,62.749.000
16,Macbook pro m2  ,          ,Apple M2       ,     ,   اپل          , ,  اپل M2 Pro   ,پردازنده 10 هسته ای                     ,   12 مگابایت                      ,   16 گیگابایت                                     ,              ,512 گیگابایت SSD   SSD              ,   512 گیگابایت                            , Apple                  ,  پردازنده گرافیکی 14 هسته ای پردازنده گرافیکی یکپارچه  , بدون حافظه گرافیکی مجزا                                  , ,تک رنگ حساس به نور محیط  دارد   ,  حداکثر تا 18 ساعت       , , 70 وات ساعت               ,  14.2 اینچ         ,  ,  ,   ,            ,   ,98.000.000
17,  ,          ,Celeron       ,     ,             , , N4000    ,  2.0                   ,4 مگابایت                         ,     4 گیگابایت  بدون حافظه گرافیکی مجزا                                 ,    1 ترابایت          , HDD                ,                               , intel                  ,     ,                                   , ,     خیر,         , ,"  غیر قابل تعویض, باتری لیتیوم-یون با ظرفیت 33 وات‌ساعت              ", 15.6 اینچ          ,  ,  ,   ,            ,   ,12.700.000
18, 12500H ,          ,Core i5 Alder Lake      ,     , Intel            ,نسل 12 ,x86     ,12                     ,18MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce GTX 1650    ,              4GB                     , ,Backlit     ,         , ,3Cell 52.5WHr                ,           ,  ,  ,   ,            ,   ,40.000.000
19,Macbook air m2  ,          ,Apple M2       ,     ,             , ,  ۸‑Core   ,۸ هسته                     ,   ۲۰ مگابایت                      ,   8 گیگابایت                                     ,  ندارد            ,256 گیگابایت   SSD              ,   256 گیگابایت                            , Apple                  ,  M۲ ۱۰‑core پردازنده گرافیکی یکپارچه  , بدون حافظه‌ی گرافیکی مجزا                                  , ,     ,  تا 15 ساعت       , , ۵۲.۶ وات‌ ساعت               ,  13.6 اینچ         ,  ,  ,   ,            ,   ,58.499.000
20,  ,          ,11th Gen\Tiger Lake       ,     ,  Intel           , , Core i7-11800H    8 هسته,                     , 24MB Smart Cache                        ,  16GB                                      ,❌              ,                 , 1TB ✔️                             ,                   , NVIDIA GeForce RTX 3060    ,6GB                                   , ,     ,         , , 60WHr               ,15.6 اینچ           ,  ,  ,   ,            ,   ,66.000.000
21,ROG  ,          ,Core i7       ,     ,   Intel          , 13.0,  13650HX   ,14 هسته حقیقی + 20 هسته مجازی                     ,   24 مگابایت                      ,   16 گیگابایت                                     ,  ندارد            ,512 گیگابایت  PCIe NVMe SSD              ,   512 گیگابایت                            , NVIDIA                  ,  Geforce RTX4060 8GB پردازنده گرافیکی مجزا  , 8 گیگابایت                                  , ,  دارد   ,  5 ساعت       , , 90 وات ساعت               ,  16 اینچ         ,  ,  ,   ,            ,   ,85.830.000
22,  ,          ,Corei5       ,     ,             , , 11400H    ,6                     ,  12MB                       ,   16GB                                     ,              ,512GB SSD                ,      PCIe NVMe                         , NVIDIA                  ,  Geforce RTX3050TI   ,            4GB                       ,دارد ,     ,    1 الی 3 ساعت     , ,     3Cell 48WHr           ," 15.6""          ",  ,  ,   ,            ,   ,43.900.000
23, 11370H ,          ,Core i7 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,12MB                         , 16GB                                       ,   1TB           ,                 , 256GB                              ,NVIDIA                   ,GeForce RTX 3050    ,              4GB                     , ,4Zone RGB     ,         , ,3Cell 45WHr                ,           ,  ,  ,   ,            ,   ,46.888.000
24, 4800H ,          ,Ryzen 7 Renoir (Zen 2)      ,     , AMD            ,نسل 4 ,x86     ,8                     ,8MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3050 Ti    ,              4GB                     , ,4Zone RGB     ,         , ,4Cell 56WHr                ,           ,  ,  ,   ,            ,   ,49.950.000
25, 6800H ,          ,Ryzen 7 AMD Rembrandt (Zen 3+)      ,     , AMD            ,نسل 6 ,x86     ,8                     ,20MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3050    ,              4GB                     , ,Backlit Chiclet Keyboard RGB     ,         , ,4Cell 56WHr                ,           ,  ,  ,   ,            ,   ,50.372.000
26, N4020 ,          ,Celeron       ,     ,             , ,     ,2                     ,4MB                         ,4GB                                        , دارد             ,                 ,    ندارد                           ,                   ,Intel UHD Graphics 600    ,              UP TO 2GB                     ,✔ ,     ,2 الی 4 ساعت         , ,3CELL 33WHr                ,           ,  ,  ,   ,            ,   ,11.000.000
27, 10300H ,          ,Core i5 Comet Lake      ,     , Intel            ,نسل 10 ,x86     ,4                     ,8MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce GTX 1650    ,              4GB                     , ,Backlit Chiclet Keyboard 1-Zone RGB     ,         , ,3Cell 48WHrs                ,           ,  ,  ,   ,            ,   ,37.481.000
28,  ,          ,11th Gen\Tiger Lake       ,     ,  Intel           , , Core i5-1135G7    4 هسته,                     , 8MB Smart Cache                        ,  8GB                                      ,❌              ,                 , 512GB ✔️                             ,                   , NVIDIA GeForce MX450    ,2GB                                   , ,     ,         , , 56.5WHr               ,14.0 اینچ           ,  ,  ,   ,            ,   ,25.199.000
29, 12700H ,          ,Core i7 Alder Lake      ,     , Intel            ,نسل 12 ,x86     ,14                     ,24MB                         , 32GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3060    ,              6GB                     , ,4Zone RGB     ,         , ,4Cell 80WHr                ,           ,  ,  ,   ,            ,   ,71.000.000
30, 5700U ,          ,Ryzen 7 Lucienne (Zen 2)      ,     , AMD            ,نسل 5 ,x86     ,8                     ,8MB                         , 8GB                                       ,              ,                 , 256GB                              ,NVIDIA                   ,GeForce MX450    ,              2GB                     , ,White Backlit     ,         , ,4Cell 56WHr                ,           ,  ,  ,   ,            ,   ,37.500.000
31, MacBook Pro MKGP3 2021 ,          ,M1 pro       ,     ,             , , M1 Pro 8-Core CPU  64 بیتی  , 8 هسته ای                    ,    24 مگابایت                     ,        16 گیگابایت از نوع یکپارچه (Unified)                                ,              ,       512 گیگابایت SSD          ,                               ,                   ,     ,                                   , , دارد (Backlit Magic Keyboard)    ,         , ,    باتری لیتیوم پلیمری با ظرفیت 70 وات ساعت  پشتیبانی از شارژ سریع 96 واتی          ,   14.2 اینچ        ,Apple M1 Pro 14-Core GPU  ,  ,   ,            ,   ,92.900.000
32,  ,          ,Core i3       ,     ,             , , 1115G4    ,    2.0 2.0                ,  6 مگابایت                       ,   4 گیگابایت                                     ,              ,        512 گیگابایت         ,                               , Intel                  ,  Intel® UHD Graphics for 11th Gen Intel® Processors   , 2GB GDDR5                                  , , ندارد    ,         , , 38Whr               , 15.6 اینچ          ,  ,  ,   ,            ,   ,16.910.000
33,  ,ایسوس(Asus)          ,6800H AMD Rembrandt (Zen 3+)      ,     ,             ,نسل 6 ,x86 Ryzen 7    ,8 هسته حقیقی + 16 هسته مجازی                     ,16 مگابایت                         ,    32GB   6GB                                 ,              ,                 ,     1TB                          ,                   ,GeForce  Geforce RTX3060 6GB GDDR6   ,                                   ,بله ,4Zone RGB دارد    ,  2 الی 4 ساعت       , ,                , 15.6 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,62.444.000
34,  ,ایسوس(Asus)          ,12500H Alder Lake      ,     ,             ,نسل 12 , Core i5    ,12هسته حقیقی + 16هسته مجازی                     ,18مگابایت                         ,    8GB   4GB                                 ,     ندارد         ,                 ,     512GB                          ,                   ,GeForce  Geforce GTX1650 4GB GDDR6   ,                                   ,بله ,Backlit با نور سفید رنگ دارد    ,  2 الی 4 ساعت       , ,                , 15.6 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,38.199.000
35,  ,          ,Core i7       ,     ,             ,نسل 12 اینتل , 1255U    ,   10 هسته                  ,     12 مگابایت                    ,   16 گیگابایت                                     ,              ,    ندارد             ,   512 گیگابایت                            ,                   ,     ,                                   , ,     ندارد,         , ,  با ظرفیت 42 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,            ,   ,31.499.000
36, 11400H ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,6                     ,12MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3050    ,              4GB                     , ,Backlit Chiclet Keyboard 1-Zone RGB     ,         , ,4Cell 90WHr                ,           ,  ,  ,   ,            ,   ,39.770.000
37,  ,          ,Apple M1       ,     ,             , , M1 Pro    ,   10 هسته                  ,     24 مگابایت                    ,   16 گیگابایت                                     ,              ,    ندارد             ,   512 گیگابایت                            ,    Apple               ,     ,                                   , ,     دارد,  تا 11 ساعت       , ,  با ظرفیت 100 وات ساعت              , 16.2 اینچ          ,  ,  ,   ,            ,   ,104.050.000
38,  ,          ,Apple M2       ,     ,             , , M2    ,   8 هسته                  ,     20 مگابایت                    ,   8 گیگابایت                                     ,              ,    ندارد             ,   256 گیگابایت                            ,    Apple               ,     ,                                   , ,     دارد,  تا 11 ساعت       , ,  با ظرفیت 52.6 وات ساعت              , 13.6 اینچ          ,  ,  ,   ,            ,   ,63.800.000
39,  ,          ,Ryzen 3       ,     ,             , , 5300U    ,                     ,  4 مگابایت                       ,   8 گیگابایت                                     ,      1ترابایت        ,                 ,                               , AMD                  ,  VEGA8   ,             2گیگابایت                      ,دارد ,     ,         , ,       2 سلولی با ظرفیت 38 وات ساعت         , 15.6 اینچ          ,  ,  ,   ,            ,   ,1.970.000.000
40, HUAWEI MateBook B3-420 ,          ,Core i5       ,     ,Intel             , ,  1135G7 64 بیتی  , 4 هسته                    ,    8 مگابایت                     ,                                        ,              ,512 گیگابایت SSD                ,                               ,                   ,     ,                                   , ,   دارد  ,         , , 56 وات ساعت               , 14 اینچ          ,Intel Iris Xe Graphics  ,  ,   ,            ,   ,23.777.000
41,  ,          ,Core i7       ,     ,             , , 8650U    ,                     ,  8 مگابایت                       ,   16 گیگابایت                                     ,              ,512 گیگابایت SSD PCIe SSD               ,                               , NVIDIA                  ,  NVIDIA® GeForce® GTX 1060 GDDR5   , 6GB                                  ,no , yes    ,  تا 17:00 پخش ویدیو ساعت       , ,                , 15.0 اینچ          ,  ,  ,   ,            ,   ,69.300.000
42,  ,ایسوس(Asus)          ,12650H Alder Lake      ,     ,             ,نسل 12 ,x86 Core i7    ,10 هسته حقیقی + 16 رشته مجازی                     ,24 مگابایت حافظه کش                         ,    16GB   8GB                                 ,     ندارد         ,                 ,     1TB                          ,                   ,GeForce  Geforce RTX3070 8GB GDDR6   ,                                   ,بله ,White Backlit دارد    ,  2 الی 4 ساعت       , ,                , 15.6 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,62.000.000
43, 6800H ,          ,Ryzen 7 AMD Rembrandt (Zen 3+)      ,     , AMD            ,نسل 6 ,x86     ,8                     ,16MB                         , 8GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3050    ,              4GB                     , ,RGB backlit     ,         , ,4Cell 56WHr                ,           ,  ,  ,   ,            ,   ,51.899.000
44,  ,          ,11th Gen\Tiger Lake       ,     ,  Intel           , , Core i5-1135G7    4 هسته,                     , 8MB Smart Cache                        ,  8GB                                      ,❌              ,                 , 512GB ✔️                             ,                   , NVIDIA GeForce MX330    ,2GB                                   , ,     ,         , , 37WHr               ,15.6 اینچ           ,  ,  ,   ,            ,   ,29.249.000
45, 1135G7 ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,8MB                         , 8GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce MX350    ,              2GB                     , ,White Backlit     ,         , ,3Cell 42WHrs                ,           ,  ,  ,   ,            ,   ,38.899.000
46,  ,          ,11th Gen\Tiger Lake       ,     ,  Intel           , , Core i7-1165G7    4 هسته,                     , 12MB Smart Cache                        ,  16GB                                      ,❌              ,                 , 512GB ✔️                             ,                   , NVIDIA GeForce MX450    ,2GB                                   , ,     ,         , , 56.5WHr               ,14.0 اینچ           ,  ,  ,   ,            ,   ,33.988.000
47,تاف گیمینگ - TUF Gaming  ,  ایسوس - ASUS        ,Core i7       ,     ,             ,نسل 12 اینتل , 12650H    ,   10 هسته                  ,     24 مگابایت                    ,   16 گیگابایت                                     ,              ,    ندارد             ,   512 گیگابایت                            ,    Nvidia GeForce               ,     ,                                   , ,     دارد,         , ,  با ظرفیت 76 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,            ,   ,51.500.000
48,  ,          ,Celeron       ,     ,             , , N4020    ,2 هسته‌ای                     ,      4 مگابایت                   ,     4 گیگابایت                                   ,              ,128 گیگابایت SSD                ,                               , INTEL                  ,  UHD Graphics   ,  بدون حافظه گرافیکی مجزا       بدون حافظه گرافیکی مجزا                          ,دارد ,     ,2 الی 4 ساعت         , ,        2Cell 32WHr        , 11.6 اینچ          ,  ,  ,   ,            ,   ,9.900.000
49, 11400H ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,6                     ,12MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3050    ,              4GB                     , ,Backlit Chiclet Keyboard 1-Zone RGB     ,         , ,4Cell 90WHr                ,           ,  ,  ,   ,            ,   ,38.700.000
50, 1115G4 ,          ,Core i3       ,     ,INTEL             , ,     ,2                     ,6MB                         ,8GB                                        , 1TB             ,                 ,256GB                               ,                   ,UHD     ,              UP TO 4GB                     ,دارد ,     ,2 الی 4 ساعت         , ,2Cell 35WHr                ,           ,  ,  ,   ,            ,   ,16.670.000
51,  ,          ,Apple M1       ,     ,             , , M1    ,   8 هسته                  ,     12 مگابایت                    ,   8 گیگابایت                                     ,              ,    ندارد             ,   256 گیگابایت                            ,    Apple               ,     ,                                   , ,     دارد,  تا 15 ساعت       , ,  با ظرفیت 49.9 وات ساعت              , 13.3 اینچ          ,  ,  ,   ,            ,   ,48.000.000
52,  ,          ,12700H Alder Lake-P      ,     ,             ,نسل 12 ,x86 Core i7    ,14 هسته حقیقی + 20 هسته مجازی                     ,24 مگابایت حافظه کش                         ,    16GB   4GB                                 ,     ندارد         ,                 ,     512GB                          ,                   ,GeForce  Geforce RTX3050Ti 4GB GDDR6   ,                                   ,بله ,RGB backlit دارد    ,  4 تا 7 ساعت       , ,                , 15.6 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,59.444.000
53,  ,          ,Raptor Lake       ,     ,   اینتل          ,نسل 13 ,x86  13980HX   ,24                     ,   36 مگابایت                      ,   16 گیگابایت                                     ,  ندارد            ,1 ترابایت  PCIe NVMe SSD              ,   1 ترابایت                            , NVIDIA                  ,  RTX 4070 پردازنده گرافیکی مجزا  , 8 گیگابایت                                  , ,Backlit Chiclet Keyboard Per-Key RGB  دارد   ,  1 تا 2 ساعت       , , 90 وات ساعت               ,  18.0 اینچ         ,  ,  ,   ,            ,   ,137.360.000
54,  ,          ,M2 chipset       ,     ,             , , Apple M2    ,                     ,  12 مگابایت                       ,   8 گیگابایت                                     ,              ,512 گیگابایت SSD                 ,                               , Apple                  ,   پردازنده گرافیکی 10 هسته ای  ,                                   , ,     ,  حداکثر تا 17 ساعت       , ,                , 13.3 اینچ          ,  ,  ,   ,            ,   ,72.700.000
55, 12500H ,          ,Core i5 Alder Lake      ,     , Intel            ,نسل 12 ,x86     ,12                     ,18MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce GTX 1650    ,              4GB                     , ,Backlit     ,         , ,3Cell 52.5WHr                ,           ,  ,  ,   ,            ,   ,40.900.000
56,  ,          ,corei7       ,     ,             ,سری 11 , 1165G7    ,چهار هسته ای                     ,12 مگابایت                         ,8گیگابایت قابلیت ارتقا تا 16 گیگابایت                                        ,              ,                 ,   512GB SSD 3.0 M.2 NVMe™ PCIe®                            ,   NVIDIA                ,    GeForce MX330 ,    2 گیگابایت DDR5                               ,دارد ,    ندارد ,2 الی 4 ساعت         , ," 2 سلولی, ظرفیت 37 وات      دارد         ", 15.6 اینچ          ,  ,  ,   ,            ,   ,30.400.000
57, 600 ,          ,Celeron       ,     ,INTEL             , ,     ,2                     ,4MB                         ,4GB                                        , 1TB             ,                 ,    256GB                           ,                   ,UHD     ,              UP TO 2GB                     ,دارد ,     ,1 الی 3 ساعت         , ,2Cell 35WHr                ,           ,  ,  ,   ,            ,   ,12.200.000
58, 1155G7 ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,8MB                         , 12GB                                       ,   1TB           ,                 ,                               ,NVIDIA                   ,GeForce MX350    ,              2GB                     , ,     ,         , ,2Cell 38WHrs                ,           ,  ,  ,   ,            ,   ,24.000.000
59, N4020 ,          ,Celeron Gemini Lake      ,     , Intel            ,نسل 9 ,x86     ,2                     ,4MB                         , 4GB                                       ,              ,                 , 512GB                              ,Intel                   ,UHD 600    ,              Up to 2GB share                     , ,     ,         , ,3Cell 42WHrs                ,           ,  ,  ,   ,            ,   ,12.749.000
60, 12700H ,          ,Core i7 Alder Lake      ,     , Intel            ,نسل 12 ,x86     ,14                     ,24MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3050 Ti    ,              4GB                     , ,4Zone RGB     ,         , ,3Cell 57.5WHr                ,           ,  ,  ,   ,            ,   ,48.199.000
61,  ,          ,Core i3       ,     ,             ,نسل 10 , 10110U    ,2 هسته‌ای                     ,      4 مگابایت                   ,     4 گیگابایت                                   ,              ,1 ترابایت SSD                ,                               , INTEL                  ,  UHD Graphics   ,  Up To 2GB       Up To 2GB                          ,دارد ,     ,2 الی 4 ساعت         , ,        2Cell 37WHr        , 14 اینچ          ,  ,  ,   ,            ,   ,17.339.000
62,  ,ایسوس(Asus)          ,12700H       ,     ,             , ,x86 Core i7    ,14 هسته حقیقی + 20 هسته مجازی                     ,24 مگابایت حافظه کش                         ,    16GB   4GB                                 ,     ندارد         ,                 ,     1TB                          ,                   ,GeForce  Geforce RTX3050 4GB GDDR6   ,                                   ,بله ,RGB backlit دارد    ,  2 الی 4 ساعت       , ,                , 15.6 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,55.599.000
63,  ,ایسوس(Asus)          ,1065G7 Ice Lake      ,     ,             ,نسل 10 , Core i7    ,4 هسته حقیقی + 8 هسته مجازی                     ,8 مگابایت                         ,    16GB   2GB                                 ,     ندارد         ,                 ,     1TB                          ,                   ,GeForce  Geforce MX330 2GB GDDR5   ,                                   ,بله , ندارد    ,  1 الی 3 ساعت       , ,                , 15.6 اینچ          , ندارد 1 عدد,  ,   ,            ,   ,32.500.000
64,Macbook pro m2  ,          ,Apple M2 Pro       ,     ,   اپل          , ,  Apple M2 Pro chip   ,12 هسته‌ ای (8 هسته‌ پردازش سنگین و 4 هسته‌ کم‌ مصرف)                     ,   12 مگابایت                      ,   16 گیگابایت                                     ,  ندارد            ,512 گیگابایت   SSD              ,   512 گیگابایت                            , Apple                  ,  Apple M2 Pro پردازنده گرافیکی یکپارچه  ,                                   , ,  دارد   ,  تا 15 ساعت       , , 99.6 وات ساعت               ,  16.2 اینچ         ,  ,  ,   ,            ,   ,120.999.000
65,  ,ایسوس(Asus)          ,12900H       ,     ,             , ,x86 Core i9    ,14 هسته حقیقی + 20 هسته مجازی                     ,24 MB                         ,    16GB   8GB                                 ,              ,                 ,     1TB                          ,                   ,GeForce  Geforce RTX3070Ti 8GB GDDR6   ,                                   ,بله ,Backlit Chiclet Keyboard Per-Key RGB دارد    ,  4 تا 7 ساعت       , ,                , 15.6 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,112.499.000
66,  ,          ,Apple M1       ,     ,             , , M1    ,   8 هسته                  ,     12 مگابایت                    ,   8 گیگابایت                                     ,              ,    ندارد             ,   256 گیگابایت                            ,    Apple               ,     ,                                   , ,     دارد,  تا 17 ساعت       , ,  با ظرفیت 58 وات ساعت              , 13.3 اینچ          ,  ,  ,   ,            ,   ,58.000.000
67,  ,          ,11th Gen\Tiger Lake       ,     ,  Intel           , , Core i5-1135G7    4 هسته,                     , 8MB Smart Cache                        ,  12GB                                      ,✔️   1TB           ,                 , 256GB ✔️                             ,                   , NVIDIA GeForce MX350    ,2GB                                   , ,     ,         , , 38WHr               ,15.6 اینچ           ,  ,  ,   ,            ,   ,25.000.000
68,  ,          ,11th Gen\Tiger Lake       ,     ,  Intel           , , Core i5-1155G7    4 هسته,                     , 8MB Smart Cache                        ,  8GB                                      ,✔️   1TB           ,                 ,  ❌                             ,                   , NVIDIA GeForce MX350    ,2GB                                   , ,     ,         , , 38WHr               ,15.6 اینچ           ,  ,  ,   ,            ,   ,23.900.000
69, 12700H ,          ,Core i7 Alder Lake      ,     , Intel            ,نسل 12 ,x86     ,14                     ,24MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3060    ,              6GB                     , ,Backlit     ,         , ,4Cell 70WHr                ,           ,  ,  ,   ,            ,   ,59.900.000
