,Unnamed: 0,0
217,217,ظرفیت ذخیره سازی
218,218,حافظه داخلی هارد
219,219,ظرفیت حافظه S.S.D
220,220,حافظه داخلی HDD
221,221,ظرفیت حافظه دوم
222,222,/
223,223,شرکت سازنده گرافیک
224,224,سازنده پردازنده گرافیکی
225,225,سازنده پردازنده گرافيکی
226,226,سازنده کارت گرافیک
227,227,برند تراشه گرافیکی
228,228,سازنده و مدل کارت گرافیک
229,229,سازنده گرافیک
230,230,Graphics Coprocessor
231,231,Chipset Brand
232,232,شرکت سازنده پردازنده گرافیکی
233,233,سری کارت گرافیک
234,234,کارت گرافیک
235,235,پردازنده گرافیکی (مجتمع)
236,236,سازنده پردازنده گرافیکی مجتمع
237,237,Graphics Memory Name
238,238,سازنده پردازنده گرافیکی یکپارچه
239,239,سازنده تراشه
240,240,سازنده پردازنده گرافيکي
241,241,سازنده پردازنده گرافیکی 
242,242,سازنده پردازنده گرافیک
243,243,/
244,244,نوع گرافیک
245,245,مدل گرافیک
246,246,مدل پردازنده گرافیکی
247,247,نوع پردازنده گرافیکی
248,248,مدل کارت گرافیک
249,249,مدل پردازنده گرافیک
250,250,/
251,251,پردازنده گرافیکی
252,252,/
253,253,حافظه گرافیک
254,254,حافظه اختصاصی پردازنده گرافیکی
255,255,حافظه پردازنده گرافیکی
256,256,حافظه پردازنده گرافیک
257,257,ظرفیت کارت گرافیک
258,258,ظرفیت حافظه پردازنده گرافیکی
259,259,مشخصات گرافیک
260,260,حافظه گرافیکی اختصاصی
261,261,حافظه‌ی اختصاصی پردازنده‌ی گرافیکی
262,262,حافظه پردازنده گرافیکی
263,263,مقدار حافظه گرافیکی
264,264,حافظه اختصاصی کارت گرافیک
265,265,حجم گرافیک اختصاصی
266,266,گرافیک
267,267,حجم گرافیک
268,268,پردازنده گرافیکی.حافظه اختصاصی پردازنده گرافیکی
269,269,ظرفیت حافظه گرافیکی
270,270,حجم و نوع کارت گرافیک
271,271,حافظه اختصاصی گرافیکی
272,272,Graphics Card Ram Size
273,273,ظرفیت گرافیک
274,274,کل حافظه گرافیکی
275,275,توضیحات پردازنده گرافیکی
276,276,حجم پردازنده گرافیکی
277,277,حجم حافظه گرافیک
278,278,پردازنده گرافیکی(VGA)
279,279,اندازه حافظه پردازنده گرافیکی
280,280,پردازنده گرافيکي.حافظه اختصاصي پردازنده گرافيکي
281,281,کارت گرافیک :
282,282,Graphic Memory
283,283,پردازنده ی گرافیکی.حافظه اختصاصی پردازنده گرافیکی
284,284,ظرفیت پردازنده گرافیکی
285,285,حافظه گرافیکی
286,286,حافظه اختصاصي پردازنده گرافيکي
287,287,مدل، نوع و میزان حافظه گرافیک
288,288,مشخصات گرافیک
289,289,/
290,290,صفحه نمایش مات
291,291,صفحه نمایش مات یا شیشه‌ای
292,292,/
293,293,صفحه نمایش لمسی
294,294,/
295,295,حسگر اثر انگشت
296,296,/
297,297,حسگرها
298,298,/
299,299,نوع نمایش نور کیبورد
300,300,کیبورد با نور پس زمینه
301,301,کیبورد با نور پس‌ زمینه
302,302,کیبورد با نور پس‌زمینه
303,303,نور پس زمینه صفحه کلید
304,304,نور پس زمینه کیبورد
305,305,/
306,306,میزان شارژدهی
307,307,عمر باتری
308,308,شارژدهی باتری
309,309,دوام شارژ باتری
310,310,میزان حدودی شارژدهی باطری
311,311,کارکرد باتری
312,312,Average Battery Life (in hours)
313,313,Average Battery Life
314,314,سایر مشخصات.شارژدهی باتری
315,315,شارژدهي باتري
316,316,/
317,317,Battery
318,318,ویژگی های باتری و شارژر
319,319,/
320,320,ظرفیت و نوع
321,321,ظرفیت باتری
322,322,توضیحات باتری
323,323,مشخصات باطری
324,324,مشخصات باتری
325,325,ظرفیت و نوع باطری
326,326,سایر قابلیت های باتری
327,327,باتری
328,328,ظرفیت و نوع باتری
329,329,ظرفیت شارژر
330,330,باتری/ ظرفیت باتری
331,331,اندازه باتری
332,332,توان باطری
333,333,Battery Size
334,334,حجم باتری
335,335,سایز باتری
336,336,شارژر / باتری
337,337,/
338,338,اندازه نمایشگر
339,339,اندازه صفحه نمایش
340,340,ابعاد نمایشگر
341,341,اندازه
342,342,صفحه نمایش.اندازه صفحه نمایش
343,343,سایز صفحه نمایش
344,344,Screen Size
345,345,اندازه صفحه‌نمایش
346,346,اندازه صفحه نمايش
347,347,اندازه صفحه نمایش 
348,348,اندازه صفحه
349,349,ابعاد صفحه نمایش
350,350,/
351,351,پردازنده گرافیکی
352,352,نمایشگر تاچ پد
353,353,تعدادفن
354,354,/
355,355,سطح صفحه نمایش مات
356,356,صفحه نمايش.صفحه نمايش مات
357,357,صحفه نمایش مات
358,358,/
359,359,قابلیت تاچ صفحه
360,360,صفحه لمسی
361,361,صفحه‌نمایش لمسی
362,362,صفحه تاچ
363,363,/
364,364,مشخصات کیبورد
365,365,چراغ‌ پس زمینه صفحه کلید
366,366,امکانات.کیبورد با نور پس زمینه
367,367,صفحه کلید با نور پس زمینه
368,368,نور پس‌زمینه LED
369,369,کیبورد با نور زمینه
370,370,مشخصات ویژه برای کیبورد
371,371,نورپس زمینه کیبورد - Backlit
372,372,نور کیبورد
373,373,امکانات.کيبورد با نور پس زمينه
374,374,کیبرد با نور پس زمینه (Backlite)
375,375,نور زیر صفحه کلید
376,376,نور صفحع کلید
377,377,/
378,378,سنسور اثر انگشت
379,379,حسگر اثر انگشت (Touch ID)
380,380,اثر انگشت (Finger)
381,381,حسگر اثر انگشت Touch ID
382,382,/
